Rank,Release Group,Worldwide,Domestic,Foreign,Year,Domestic %,Foreign %
2648,The Take,14857808,50269,14807539,2016,0.0033833389151347224,0.9966166610848652
2649,Supernova,14828081,14230455,597626,2000,0.9596963356215817,0.040303664378418216
2650,Soul Plane,14821824,14190750,631074,2004,0.9574226491962123,0.04257735080378771
2651,Possession,14815898,10113733,4702165,2002,0.6826270672219801,0.3173729327780199
2652,Somewhere,14788642,1785645,13002997,2010,0.12074435232119352,0.8792556476788065
2653,Out Cold,14782676,13906394,876282,2001,0.940722369887563,0.059277630112437016
2654,Seondal: The Man Who Sells the River,14777982,97477,14680505,2016,0.006596096814842514,0.9934039031851575
2655,The Triplets of Belleville,14776760,7007149,7769611,2003,0.47420063667542817,0.5257993633245718
2656,A Royal Affair,14758997,1546761,13212236,2012,0.10480122734627563,0.8951987726537244
2657,Sword Master,14714624,75526,14639098,2016,0.005132716948798691,0.9948672830512013
2658,Inherent Vice,14710975,8110975,6600000,2014,0.5513553656368799,0.4486446343631201
2659,Iron Monkey,14694904,14694904,0,2001,1.0,0.0
2660,The Way Back,14690514,13590514,1100000,2020,0.9251217486331655,0.0748782513668344
2661,Together with You,14687167,1151941,13535226,2003,0.07843180376447002,0.92156819623553
2662,"Hello, My Name Is Doris",14659448,14444999,214449,2016,0.985371277281382,0.014628722718618054
2663,Beyond the Lights,14618727,14618727,0,2014,1.0,0.0
2664,Welcome to Mooseport,14615099,14470947,144152,2004,0.9901367756728846,0.009863224327115403
2665,Together,14572229,1034829,13537400,2001,0.07101377558642538,0.9289862244135746
2666,Hollywood Ending,14569744,4850753,9718991,2002,0.33293330342660793,0.6670666965733921
2667,Megan Leavey,14510490,13406883,1103607,2017,0.9239441948548947,0.07605580514510536
2668,Envy,14494036,13562325,931711,2004,0.9357176289613189,0.06428237103868101
2669,Malena,14493284,3448233,11045051,2000,0.23791937010273173,0.7620806298972683
2670,A United Kingdom,14459330,3902185,10557145,2016,0.269873154565253,0.7301268454347469
2671,Serenity,14454622,8547045,5907577,2019,0.5913018687033117,0.40869813129668836
2672,America: Imagine the World Without Her,14444502,14444502,0,2014,1.0,0.0
2673,RBG,14441292,14017361,423931,2018,0.9706445240495103,0.02935547595048975
2674,Unfinished Business,14431253,10219501,4211752,2015,0.7081506366772171,0.29184936332278283
2675,45 Years,14430249,4247285,10182964,2015,0.2943320659262359,0.705667934073764
2676,Do You Believe?,14410698,12985600,1425098,2015,0.9011083293814082,0.09889167061859183
2677,Woodlawn,14401617,14394097,7520,2015,0.9994778364123973,0.0005221635876026977
2678,I Dreamed of Africa,14400327,6651522,7748805,2000,0.4619007610035522,0.5380992389964477
2679,How to Deal,14390329,14195227,195102,2003,0.986442144581962,0.013557855418038044
2680,Eighth Grade,14347433,13539709,807724,2018,0.9437025424687469,0.056297457531253155
2681,Thugs of Hindostan,14341431,1449848,12891583,2018,0.1010950720329094,0.8989049279670905
2682,Being Julia,14339171,7739049,6600122,2004,0.5397138370133113,0.4602861629866887
2683,Freddy Got Fingered,14333252,14254993,78259,2001,0.9945400387853364,0.005459961214663637
2684,The Other Side of the Door,14332467,3000342,11332125,2016,0.20933883887540086,0.7906611611245992
2685,Beginners,14311701,5790894,8520807,2011,0.4046265360071455,0.5953734639928545
2686,The Beauty Inside,14301869,108083,14193786,2015,0.007557264019129248,0.9924427359808707
2687,Unsane,14293601,7732899,6560702,2018,0.5410042577794077,0.45899574222059225
2688,Stealing Harvard,14277032,14036406,240626,2002,0.9831459367745341,0.01685406322546591
2689,Colette,14273033,5137622,9135411,2018,0.35995306673781247,0.6400469332621875
2690,Proof,14189860,7535331,6654529,2005,0.5310363174830478,0.46896368251695225
2691,What Planet Are You From?,14145677,6291602,7854075,2000,0.4447720671128006,0.5552279328871994
2692,Ya veremos,14134723,4165949,9968774,2018,0.2947315628328903,0.7052684371671096
2693,Shaandaar,14120808,521794,13599014,2015,0.03695213475036273,0.9630478652496373
2694,Red Lights,14107313,52624,14054689,2012,0.0037302638709440982,0.9962697361290559
2695,Seeking Justice,14089528,411746,13677782,2011,0.02922354815576505,0.970776451844235
2696,Island of Lemurs: Madagascar,14066534,11272213,2794321,2014,0.8013497141513325,0.19865028584866748
2697,Osmosis Jones,14026418,13596911,429507,2001,0.9693787109438775,0.030621289056122526
2698,Ghosts of Mars,14010832,8709640,5301192,2001,0.621636174068749,0.3783638259312509
2699,Dirty Pretty Things,13904766,8112414,5792352,2002,0.5834268624153761,0.4165731375846239
2700,Touching the Void,13885802,4593598,9292204,2003,0.33081258108102074,0.6691874189189793
2701,The Quake,13837294,6235,13831059,2018,0.0004505938805665327,0.9995494061194334
2702,House of the Dead,13818181,10249719,3568462,2003,0.7417560241829225,0.25824397581707753
2703,Juwanna Mann,13802599,13670733,131866,2002,0.9904462920352899,0.009553707964710124
2704,Back To The Future Day,13801197,1650000,12151197,2015,0.1195548473078096,0.8804451526921904
2705,Winter's Bone,13796834,6531503,7265331,2010,0.47340592776574686,0.5265940722342531
2706,La Belle Époque,13770064,0,13770064,2020,0.0,1.0
2707,The Ladies Man,13743212,13616610,126602,2000,0.9907880341218632,0.009211965878136785
2708,Pulling Strings,13725819,5842961,7882858,2013,0.4256912465478381,0.5743087534521619
2709,American Outlaws,13678913,13342790,336123,2001,0.9754276527674385,0.024572347232561534
2710,Phantom,13676590,489984,13186606,2015,0.03582647428927825,0.9641735257107218
