Rank,Release Group,Worldwide,Domestic,Foreign,Year,Domestic %,Foreign %
4746,True to the Game,1231040,1231040,0,2017,1.0,0.0
4747,Steve McQueen: American Icon,1229782,1229782,0,2017,1.0,0.0
4748,Casablanca 2011 Re-release,1226808,1155330,71478,2011,0.9417366042608134,0.05826339573918657
4749,Rory O'Shea Was Here,1226577,23844,1202733,2004,0.01943946446085325,0.9805605355391468
4750,BTS World Tour 'Love Yourself: Speak Yourself' (The Final) Seoul Live Viewing,1226552,1226552,0,2019,1.0,0.0
4751,That Sugar Film,1226399,3500,1222899,2015,0.0028538836055802394,0.9971461163944197
4752,The Revolution Has Begun,1223419,738525,484894,2013,0.6036566376686973,0.3963433623313027
4753,Santa vs. the Snowman 3D 2005 Re-release,1222538,1222538,0,2005,1.0,0.0
4754,Sister,1218174,154659,1063515,2012,0.12695969541297056,0.8730403045870294
4755,Alexandra's Project,1217812,752148,465664,2003,0.617622424479312,0.3823775755206879
4756,Ilo Ilo,1216181,56773,1159408,2013,0.04668137390733781,0.9533186260926622
4757,When We Leave,1214076,19631,1194445,2010,0.016169498449849926,0.9838305015501501
4758,Woman Thou Art Loosed: On the 7th Day,1213128,1213128,0,2012,1.0,0.0
4759,Clandestine Childhood,1212354,9017,1203337,2012,0.007437596609571132,0.9925624033904289
4760,Uncle Boonmee Who Can Recall His Past Lives,1212206,184292,1027914,2010,0.15203026548292947,0.8479697345170706
4761,Margaret Cho: I'm the One That I Want,1210967,1210967,0,2000,1.0,0.0
4762,Kochadaiiyaan,1210580,817192,393388,2014,0.6750417155413108,0.32495828445868924
4763,Casino Jack,1209709,1042959,166750,2010,0.862156931956363,0.13784306804363694
4764,The Way He Looks,1207841,101451,1106390,2014,0.08399367135243795,0.916006328647562
4765,Noble 2014 Re-release,1207386,347321,860065,2014,0.2876635972257422,0.7123364027742578
4766,Alone in Berlin,1205598,33125,1172473,2016,0.02747599116786856,0.9725240088321314
4767,Inequality for All,1205273,1205273,0,2013,1.0,0.0
4768,Meek's Cutoff,1205257,977772,227485,2011,0.8112560225744385,0.1887439774255615
4769,In the Land of Blood and Honey,1203699,303877,899822,2011,0.25245264804573236,0.7475473519542677
4770,"Beats, Rhymes & Life: The Travels of A Tribe Called Quest",1200326,1200326,0,2011,1.0,0.0
4771,The Affair of the Necklace,1198113,471210,726903,2001,0.39329345395634635,0.6067065460436536
4772,Phantom,1197759,1034589,163170,2013,0.8637705915797752,0.13622940842022477
4773,No Entry,1197530,678000,519530,2005,0.5661653570265464,0.4338346429734537
4774,Spirited Away 2017 Re-release,1196791,1196791,0,2017,1.0,0.0
4775,The Captain,1196669,109226,1087443,2018,0.09127503094005109,0.9087249690599489
4776,Yi Yi,1196218,1136776,59442,2000,0.9503083886047526,0.04969161139524735
4777,Great Performances at the Met: Saint-Saëns: Samson et Dalila,1195758,1195758,0,2018,1.0,0.0
4778,Repentance,1194961,1189612,5349,2014,0.9955237032840403,0.0044762967159597674
4779,The First Grader,1194710,332000,862710,2011,0.27789170593700563,0.7221082940629944
4780,When You're Strange,1194182,246078,948104,2010,0.20606406728622606,0.7939359327137739
4781,Free Men,1192651,53810,1138841,2011,0.04511797667549015,0.9548820233245099
4782,Backstage,1191835,1191835,0,2000,1.0,0.0
4783,Indigo,1190000,1190000,0,2005,1.0,0.0
4784,Time Out,1189692,448542,741150,2001,0.3770236330075347,0.6229763669924653
4785,Kingdom Men Rising,1188936,1188936,0,2019,1.0,0.0
4786,Shubh Mangal Savdhan,1188541,689874,498667,2017,0.5804376963016,0.4195623036984
4787,Kill the Irishman,1188194,1188194,0,2011,1.0,0.0
4788,Dead Snow 2: Red vs. Dead,1187477,37473,1150004,2014,0.03155682173212618,0.9684431782678738
4789,Los Domirriqueños 2,1187280,1187280,0,2019,1.0,0.0
4790,Chuck & Buck,1182065,1055671,126394,2000,0.8930735619445631,0.10692643805543689
4791,Remember 2016 Re-release,1181023,637555,543468,2016,0.5398328398346179,0.46016716016538206
4792,Fire at Sea,1178377,120933,1057444,2016,0.10262674848541681,0.8973732515145832
4793,Any Body Can Dance 2,1176958,892133,284825,2015,0.7579990110097387,0.24200098899026135
4794,Owning Mahowny,1176302,1011871,164431,2003,0.860213618611547,0.13978638138845295
4795,National Theater Live: Cyrano de Bergerac,1173512,86300,1087212,2019,0.0735399382366776,0.9264600617633224
4796,Little Manhattan,1172444,385373,787071,2005,0.3286920313464865,0.6713079686535135
4797,Double Dhamaal,1172240,543646,628594,2011,0.46376680543233467,0.5362331945676653
4798,Raanjhanaa,1171761,903232,268529,2013,0.7708329599636786,0.2291670400363214
4799,Honeyland,1170207,815082,355125,2019,0.6965280501654836,0.3034719498345165
4800,The Innkeepers,1169750,78396,1091354,2012,0.06701944860012823,0.9329805513998718
4801,Dark Tide,1167612,0,1167612,2012,0.0,1.0
4802,Great Performances at the Met: Verdi: Luisa Miller,1166858,1166858,0,2018,1.0,0.0
4803,Her & Him,1166781,857986,308795,2016,0.7353445076668201,0.2646554923331799
4804,You Ain't Seen Nothin' Yet,1166740,18929,1147811,2012,0.01622383735879459,0.9837761626412054
4805,The Emperor's New Clothes,1165545,661903,503642,2001,0.5678914156038591,0.43210858439614086
4806,The Best Two Years,1163450,1163450,0,2004,1.0,0.0
4807,Vaxxed: From Cover-Up to Catastrophe,1163265,1163265,0,2016,1.0,0.0
4808,Groove,1162001,1115313,46688,2000,0.959821032856254,0.040178967143746004
4809,Trois,1161843,1161843,0,2000,1.0,0.0
4810,Louder Than Bombs,1160724,163807,996917,2015,0.14112484966279668,0.8588751503372033
4811,Where Hope Grows,1159072,1156000,3072,2015,0.9973496038209878,0.002650396179012175
4812,Breathe,1158695,42297,1116398,2014,0.03650399803226906,0.9634960019677309
4813,Darling Companion,1157257,793815,363442,2012,0.6859452999636209,0.31405470003637914
4814,Napping Princess,1156847,48198,1108649,2017,0.041663245009927845,0.9583367549900722
4815,Embrace: The Documentary,1155263,629126,526137,2016,0.5445738329713667,0.4554261670286333
4816,Detective Jagga,1154862,861740,293122,2017,0.7461843925940935,0.25381560740590653
4817,Step,1152839,1146292,6547,2017,0.9943209763028489,0.00567902369715112
4818,The Reckoning,1152528,257252,895276,2004,0.2232067246956256,0.7767932753043744
4819,Liberal Arts,1150681,327345,823336,2012,0.28447936482830605,0.715520635171694
4820,Les aimants,1150414,1150414,0,2004,1.0,0.0
4821,The Goonies 2019 Re-release,1148405,864378,284027,2019,0.7526769737157187,0.24732302628428124
4822,Cartel Land,1145923,704352,441571,2015,0.6146591001315097,0.3853408998684903
4823,Elliot the Littlest Reindeer 2018 Re-release,1142187,24262,1117925,2018,0.021241705605124204,0.9787582943948758
4824,Roma,1140769,0,1140769,2018,0.0,1.0
4825,The Song of Names,1138700,1077584,61116,2019,0.946328269078774,0.05367173092122596
4826,The Hollars,1138609,1016985,121624,2016,0.8931819439333433,0.10681805606665677
4827,Fathom Premieres 6 Below: Miracle on the Mountain,1135531,14838,1120693,2017,0.01306701446283721,0.9869329855371628
4828,Cell,1133031,0,1133031,2016,0.0,1.0
4829,Miral,1132843,373420,759423,2010,0.3296308491114832,0.6703691508885168
4830,Dancer,1131649,71917,1059732,2016,0.06355062391253825,0.9364493760874617
4831,Stranger By The Lake,1131241,325196,806045,2013,0.2874683643891974,0.7125316356108027
4832,Weekend,1128477,484592,643885,2011,0.4294212465118917,0.5705787534881083
4833,The Lady and the Duke,1128137,331051,797086,2001,0.29344928851726343,0.7065507114827366
4834,In the Name Of,1127938,9883,1118055,2013,0.008762006422338816,0.9912379935776612
4835,Tosca,1125058,69613,1055445,2001,0.06187503222056107,0.9381249677794389
4836,Man-Thing,1123136,0,1123136,2005,0.0,1.0
4837,Paper Clips,1121744,1121744,0,2004,1.0,0.0
4838,Look Away,1119537,0,1119537,2018,0.0,1.0
4839,Papa Hemingway in Cuba,1117399,1115615,1784,2016,0.9984034351203106,0.00159656487968935
4840,The Mill and the Cross,1116180,312187,803993,2011,0.2796923435288215,0.7203076564711784
4841,Great Performances at the Met: Donizetti: L'Elisir d'Amore,1115018,1115018,0,2018,1.0,0.0
4842,A War,1114663,122902,991761,2015,0.11025933398704361,0.8897406660129564
4843,The Selfish Giant,1114027,12189,1101838,2013,0.01094138651935725,0.9890586134806427
4844,Walking With The Enemy,1112592,1112592,0,2014,1.0,0.0
4845,Jet Lag 2003 Re-release,1112018,544964,567054,2003,0.49006760681931405,0.509932393180686
4846,The R.M.,1111615,1111615,0,2003,1.0,0.0
4847,Sordid Lives,1111273,1111273,0,2001,1.0,0.0
4848,The Overnight,1110522,1110522,0,2015,1.0,0.0
4849,Sacred Planet,1108356,1108356,0,2004,1.0,0.0
4850,Intimate Stories,1108009,102897,1005112,2002,0.09286657418847681,0.9071334258115232
4851,My Neighbor Totoro 2019 Re-release,1105703,1105564,139,2019,0.9998742881225791,0.0001257118774209711
4852,"Peace, Love & Misunderstanding",1105020,590700,514320,2012,0.5345604604441548,0.46543953955584516
4853,American Desi,1104408,907835,196573,2001,0.822010525095798,0.17798947490420208
4854,The Heart Specialist,1103037,1103037,0,2011,1.0,0.0
4855,The Insanity of God,1102525,1102525,0,2016,1.0,0.0
4856,El Coyote,1101470,1101470,0,2019,1.0,0.0
4857,Chaar Sahibzaade 2: Rise of Banda Singh Bahadur 2016 Re-release,1100947,700723,400224,2016,0.6364729637303158,0.3635270362696842
4858,Beyond the Reach,1100432,45895,1054537,2015,0.04170634805240124,0.9582936519475987
4859,Yaadein...,1093819,1000229,93590,2001,0.9144373977778774,0.08556260222212267
4860,Columbus,1093077,1017107,75970,2017,0.9304989492963441,0.06950105070365582
4861,Northern Soul,1092359,8886,1083473,2014,0.008134688321330259,0.9918653116786698
4862,Bombshell: The Hedy Lamarr Story,1092277,820300,271977,2017,0.7509999752809956,0.24900002471900443
4863,The Son of No One,1091132,30680,1060452,2011,0.028117587972857547,0.9718824120271424
4864,Snowboarder,1090565,27732,1062833,2003,0.02542902073695745,0.9745709792630426
4865,The Man Who Cried,1090432,747092,343340,2001,0.6851339652541378,0.31486603474586217
4866,The Sky Is Pink,1088641,652592,436049,2019,0.5994556515876216,0.40054434841237835
4867,Tycoon: A New Russian,1086121,123159,962962,2002,0.1133934432719743,0.8866065567280257
4868,Sunset,1083299,164906,918393,2018,0.15222574746215034,0.8477742525378497
4869,Undiscovered,1082784,1069318,13466,2005,0.9875635399119307,0.012436460088069274
4870,Jesus Is King,1082629,973000,109629,2019,0.8987381642280042,0.10126183577199577
4871,Mystify: Michael Hutchence,1082456,289573,792883,2019,0.2675147996777698,0.7324852003222302
4872,The Statement,1079822,765637,314185,2003,0.7090400084458365,0.2909599915541636
4873,The Cup,1079108,1079108,0,2000,1.0,0.0
4874,Page One: Inside the New York Times,1077982,1067028,10954,2011,0.9898384203075747,0.010161579692425291
4875,Turtles Can Fly,1075553,258578,816975,2005,0.24041400098368002,0.75958599901632
4876,The Salton Sea,1073198,764554,308644,2002,0.7124072165620883,0.2875927834379117
4877,The First Monday in May,1072943,527474,545469,2016,0.4916141864013279,0.5083858135986721
4878,Killing Season,1071322,39881,1031441,2013,0.03722596940975729,0.9627740305902427
4879,When Brendan Met Trudy,1069648,133376,936272,2001,0.12469148729301602,0.875308512706984
4880,Au nom de ma fille,1066493,1623,1064870,2016,0.001521810269734541,0.9984781897302655
4881,The Oogieloves in the Big Balloon Adventure,1065907,1065907,0,2012,1.0,0.0
4882,50 to 1,1064454,1064454,0,2014,1.0,0.0
4883,La Mission,1062941,1062941,0,2010,1.0,0.0
4884,Carlos,1059369,145526,913843,2010,0.1373704535435717,0.8626295464564283
4885,Bennett's War,1056416,1056416,0,2019,1.0,0.0
4886,Borgman,1052010,57474,994536,2013,0.05463256052699119,0.9453674394730088
4887,All Over the Guy,1051948,1022324,29624,2001,0.971838912189576,0.02816108781042409
4888,No One Lives,1048704,74918,973786,2013,0.07143865189796167,0.9285613481020383
4889,Reservation,1048507,651096,397411,2011,0.6209743950207295,0.3790256049792705
4890,Extremedays,1047553,1047553,0,2001,1.0,0.0
4891,A Tale of Two Sisters,1045252,72541,972711,2003,0.06940048906866478,0.9305995109313352
4892,A Brilliant Young Mind,1043620,171793,871827,2015,0.16461259845537649,0.8353874015446235
4893,Made In Mexico,1042673,151133,891540,2012,0.14494764897527795,0.855052351024722
4894,Khatta Meetha,1040814,541904,498910,2010,0.5206540265599809,0.47934597344001906
4895,Spark: A Space Tail,1040689,196458,844231,2017,0.18877685840822764,0.8112231415917723
4896,Befikre,1040421,498000,542421,2016,0.4786523916760619,0.5213476083239381
4897,The Dark Crystal 2018 Re-release,1036956,1036956,0,2018,1.0,0.0
4898,Swept Away,1036520,598645,437875,2002,0.5775527727395515,0.4224472272604484
4899,Noah,1035603,1035603,0,2019,1.0,0.0
4900,Unconditional,1034448,1005800,28648,2012,0.9723060028150279,0.02769399718497208
4901,Margaret Cho: Notorious C.H.O.,1033395,1033395,0,2002,1.0,0.0
4902,Urbania,1032075,1032075,0,2000,1.0,0.0
4903,Ain't Them Bodies Saints,1031243,396519,634724,2013,0.38450588270659775,0.6154941172934022
4904,We Are Family,1031070,638144,392926,2010,0.6189143317136567,0.3810856682863433
4905,The Eyes of Tammy Faye,1029591,1029591,0,2000,1.0,0.0
4906,Breaking News,1028420,0,1028420,2004,0.0,1.0
4907,Knight of Cups,1026288,566006,460282,2015,0.5515079587796018,0.44849204122039815
4908,Casablanca 2017 Re-release,1024560,1024560,0,2017,1.0,0.0
4909,Tangerines,1024132,144501,879631,2015,0.14109606964727203,0.8589039303527279
4910,Great Performances at the Met: Puccini: La Fanciulla del West,1023233,1023233,0,2018,1.0,0.0
4911,"The Bread, My Sweet",1023156,1023156,0,2001,1.0,0.0
4912,Pinjar,1022336,66290,956046,2003,0.06484169588080631,0.9351583041191937
4913,Ma Mère,1022148,71616,950532,2004,0.07006421770624215,0.9299357822937578
4914,The Taste of Others,1021938,891369,130569,2000,0.8722339319997886,0.12776606800021137
4915,Leaves of Grass,1018753,70066,948687,2010,0.06877623918653492,0.9312237608134651
4916,The Oscar Nominated Short Films 2010: Live Action,1018169,1018169,0,2010,1.0,0.0
4917,On a Clear Day,1017257,191033,826224,2005,0.1877922688170246,0.8122077311829754
4918,Husband Material,1016545,567417,449128,2018,0.5581818807824543,0.4418181192175457
4919,Savage Messiah,1015671,1015671,0,2002,1.0,0.0
4920,Two Family House,1015122,1015122,0,2000,1.0,0.0
4921,Assassination Tango,1013272,1013272,0,2003,1.0,0.0
4922,Big Stone Gap,1012804,1009301,3503,2015,0.9965412853819693,0.0034587146180307345
4923,L'attesa,1010766,55804,954962,2015,0.05520961330317799,0.944790386696822
4924,Elvis: The Comeback Special,1010657,1010657,0,2018,1.0,0.0
4925,Far from Men,1010485,5336,1005149,2015,0.0052806325675294535,0.9947193674324706
4926,Cold Blood,1009888,5083,1004805,2019,0.005033231407839285,0.9949667685921607
4927,The Song,1009620,1009620,0,2014,1.0,0.0
4928,Francofonia,1008154,307040,701114,2015,0.3045566451157264,0.6954433548842737
4929,Sidewalls,1008116,2377,1005739,2011,0.0023578635791912834,0.9976421364208087
4930,Lilya 4-Ever,1007747,184023,823724,2002,0.18260833324237136,0.8173916667576286
4931,The Princess and the Warrior,1004858,872091,132767,2001,0.8678748639111198,0.1321251360888802
4932,Ghost House,1004155,0,1004155,2017,0.0,1.0
4933,Faith of Our Fathers,1004105,1004105,0,2015,1.0,0.0
4934,Kiki's Delivery Service 2019 Re-release,1004057,1004057,0,2019,1.0,0.0
4935,Valentin 2003 Re-release,1002172,275968,726204,2003,0.2753698965846182,0.7246301034153818
4936,The Workshop,1000056,22061,977995,2017,0.022059764653179423,0.9779402353468206
4937,Gabbar is Back,998582,534601,463981,2015,0.5353601406794835,0.4646398593205165
4938,Transit,998544,815290,183254,2018,0.8164787931227868,0.1835212068772132
4939,National Theatre Live: Antony & Cleopatra,998079,83672,914407,2018,0.08383304327613346,0.9161669567238665
4940,The Son,997544,70262,927282,2002,0.07043498833134178,0.9295650116686582
4941,"Polina, danser sa vie",996425,165203,831222,2016,0.16579571969792006,0.8342042803020799
4942,Photograph,996171,344534,651637,2019,0.34585829139776203,0.654141708602238
4943,Burn,996103,996103,0,2012,1.0,0.0
4944,Long Live Freedom 2014 Re-release,995990,48541,947449,2014,0.04873643309671784,0.9512635669032822
4945,Duma,994790,870067,124723,2005,0.8746237899456166,0.12537621005438335
4946,Child's Pose,994126,97170,896956,2013,0.09774414913200137,0.9022558508679986
4947,Blue Ruin,993313,258384,734929,2014,0.2601234454799243,0.7398765545200757
4948,All Access: Front Row. Backstage. Live!,992683,992683,0,2001,1.0,0.0
4949,Beyond Skyline,992181,0,992181,2017,0.0,1.0
4950,First Descent,988368,750805,237563,2005,0.7596411458080391,0.2403588541919609
4951,Blackthorn,987883,200558,787325,2011,0.20301796872706585,0.7969820312729341
4952,The Greatest,985181,114766,870415,2010,0.1164922993845801,0.8835077006154199
4953,American Masters: Miles Davis: Birth of the Cool,984499,614201,370298,2019,0.6238716342017615,0.3761283657982385
4954,Being Flynn,983124,540152,442972,2012,0.5494240807873676,0.4505759192126324
4955,Schindler's List 2018 Re-release,981489,833050,148439,2018,0.8487614226955167,0.15123857730448328
4956,Mr. Pip,977855,1714,976141,2013,0.0017528161128183626,0.9982471838871816
4957,Stuck in Love.,977671,81071,896600,2013,0.08292257824973841,0.9170774217502616
4958,Saraband,975181,645634,329547,2004,0.6620658113724529,0.3379341886275471
4959,Who Killed Bambi?,973173,14532,958641,2003,0.014932596773646618,0.9850674032263533
4960,Journey's End,970809,161796,809013,2018,0.166661001288616,0.8333389987113841
4961,An American Rhapsody,970676,850255,120421,2001,0.8759410967202238,0.12405890327977616
4962,Trishna,967672,240381,727291,2012,0.24841165188204267,0.7515883481179573
4963,Ryuichi Sakamoto: Coda,960212,117460,842752,2018,0.12232715275376688,0.8776728472462332
4964,Rush: Cinema Strangiato 2019,960073,960073,0,2019,1.0,0.0
4965,A Prayer Before Dawn,958883,14453,944430,2018,0.015072746101453462,0.9849272538985465
4966,The Endless,956425,272020,684405,2018,0.2844133099824869,0.7155866900175132
4967,The Fighting Preacher,954641,954641,0,2019,1.0,0.0
4968,The Catcher Was a Spy,953953,725223,228730,2018,0.7602292775430236,0.2397707224569764
4969,The Farewell Party,951531,172860,778671,2015,0.1816651270426292,0.8183348729573708
4970,Gimme Danger,950040,440627,509413,2016,0.4637983663845733,0.5362016336154267
4971,Under the Tree,944991,67596,877395,2017,0.07153083997625374,0.9284691600237462
4972,The Dinner,944808,7282,937526,2014,0.0077073860509225154,0.9922926139490775
4973,Rebel in the Rye,944370,378294,566076,2017,0.4005781632199244,0.5994218367800757
4974,Dark Horse 2016 Re-release,944061,940715,3346,2016,0.9964557375000133,0.0035442624999867593
4975,Afterimage,943029,33443,909586,2017,0.03546338447704153,0.9645366155229584
4976,The Road,942041,92476,849565,2011,0.0981655787805414,0.9018344212194586
4977,Landline,940854,940854,0,2017,1.0,0.0
4978,Becoming Astrid,938766,120486,818280,2018,0.12834508280018664,0.8716549171998134
4979,Revenge,938055,102091,835964,2018,0.10883263774512156,0.8911673622548785
4980,Kaili Blues,935236,32164,903072,2016,0.034391319410287884,0.9656086805897122
4981,Barely Lethal,933847,6075,927772,2015,0.006505348306521304,0.9934946516934787
4982,Perfect Sense,933352,2959,930393,2011,0.0031702937369824033,0.9968297062630176
4983,A Borrowed Identity,930958,281540,649418,2015,0.30241965802968557,0.6975803419703145
4984,Simpatico,929606,929606,0,2000,1.0,0.0
4985,Dirty Dancing 2019 Re-release,928944,622968,305976,2019,0.6706195421898413,0.3293804578101586
4986,White Christmas 2018 Re-release,928298,928298,0,2018,1.0,0.0
4987,Like Arrows,928265,817990,110275,2018,0.8812031047168642,0.11879689528313574
4988,Toni Morrison: The Pieces I Am,927495,903018,24477,2019,0.9736095612375268,0.026390438762473115
4989,Aimee & Jaguar,927107,927107,0,2000,1.0,0.0
4990,How I Live Now,925762,60213,865549,2013,0.06504155495688957,0.9349584450431104
4991,Patterns of Evidence: Exodus,925576,925576,0,2015,1.0,0.0
4992,The Uniform,924170,587877,336293,2004,0.6361134856141186,0.3638865143858814
4993,The Yards,924036,889352,34684,2000,0.9624646658788186,0.03753533412118142
4994,Gentleman,923884,897876,26008,2016,0.9718492797797126,0.028150720220287397
4995,ATM,921752,3010,918742,2012,0.003265520443676824,0.9967344795563232
4996,Paradise,921242,14873,906369,2017,0.01614450926032465,0.9838554907396754
4997,Palo Alto,919591,767732,151859,2014,0.8348624551566947,0.16513754484330534
4998,Back to 1942,918487,312954,605533,2012,0.3407277402946367,0.6592722597053633
4999,Kirk Cameron: Connect,918127,918127,0,2018,1.0,0.0
5000,Faithless,918033,739055,178978,2001,0.8050418666867095,0.19495813331329048
5001,Hasee Toh Phasee,916906,646035,270871,2014,0.7045814947224688,0.29541850527753116
5002,The Lodgers,916727,7362,909365,2018,0.00803074415829358,0.9919692558417064
5003,The Ballad of Jack and Rose,916051,712275,203776,2005,0.7775495032481816,0.2224504967518184
5004,Memories of Murder,914793,15357,899436,2003,0.016787404363610127,0.9832125956363899
5005,Kings,910269,274635,635634,2018,0.3017075172284237,0.6982924827715763
5006,Seymour: An Introduction,907742,743541,164201,2015,0.8191104961541936,0.1808895038458064
5007,Sholem Aleichem: Laughing in the Darkness,906666,906666,0,2011,1.0,0.0
5008,The Dead Lands,906158,5240,900918,2014,0.0057826560048026944,0.9942173439951973
5009,Bitter Harvest,904399,557241,347158,2017,0.6161450864054472,0.38385491359455287
5010,Generation Iron,901649,849521,52128,2013,0.9421859282270595,0.05781407177294047
5011,A Song for Martin,900626,27983,872643,2001,0.031070610886205816,0.9689293891137942
5012,The Wildest Dream,898137,898137,0,2010,1.0,0.0
5013,The Game Changers,897992,739711,158281,2019,0.8237389642669423,0.17626103573305776
5014,The Disappearance of Alice Creed,896919,166980,729939,2010,0.1861706575510163,0.8138293424489836
5015,A Woman's Life,895944,37626,858318,2016,0.04199592831694838,0.9580040716830516
5016,Place Vendôme,895788,895788,0,2000,1.0,0.0
5017,The High Note,895200,0,895200,2020,0.0,1.0
5018,You're Not You,894964,11486,883478,2014,0.01283403578244488,0.9871659642175551
5019,Best of Enemies: Buckley vs. Vidal,892802,892802,0,2015,1.0,0.0
5020,Lucky: No Time for Love,891789,453507,438282,2005,0.5085362120411892,0.4914637879588109
5021,Personal Velocity,890502,811299,79203,2002,0.9110580324356374,0.08894196756436257
5022,Believe,890303,890303,0,2016,1.0,0.0
5023,Alone Yet Not Alone,887851,887851,0,2013,1.0,0.0
5024,The Future,887172,568662,318510,2011,0.6409828082942203,0.3590171917057797
5025,La otra conquista,886410,886410,0,2000,1.0,0.0
5026,Code 46,886018,285585,600433,2004,0.3223241514280748,0.6776758485719252
5027,The Nightingale,885916,400209,485707,2019,0.4517459894617548,0.5482540105382452
5028,The Claim,885836,669258,216578,2000,0.7555100492641978,0.24448995073580213
5029,Gaz Bar Blues,884664,884664,0,2003,1.0,0.0
5030,Princess Kaiulani,883887,883887,0,2010,1.0,0.0
5031,Pandora's Box,881950,881950,0,2002,1.0,0.0
5032,Venom,881779,881779,0,2005,1.0,0.0
5033,Ai Weiwei: Never Sorry,881661,534100,347561,2012,0.6057883925908031,0.394211607409197
5034,The Hummingbird Project,876980,371784,505196,2019,0.423936691828776,0.576063308171224
5035,Between Me and My Mind,875191,875191,0,2019,1.0,0.0
5036,The Polar Express 2017 IMAX Release,875150,875150,0,2017,1.0,0.0
5037,Lajja,871706,376000,495706,2001,0.43133808875928353,0.5686619112407165
5038,Particle Fever,869838,869838,0,2014,1.0,0.0
5039,Mirrormask,866999,866999,0,2005,1.0,0.0
5040,The Other Side of the Bed 2003 Re-release,866250,113543,752707,2003,0.1310741702741703,0.8689258297258298
5041,Bird People,866211,32111,834100,2014,0.037070644450370636,0.9629293555496293
5042,Howl's Moving Castle 2019 Re-release,865647,865647,0,2019,1.0,0.0
5043,Great Performances at the Met: Nico Muhly: Marnie,865551,849710,15841,2018,0.981698363239139,0.018301636760861002
5044,The Battle of Algiers 2004 Re-release,865058,822941,42117,2004,0.9513130911453336,0.048686908854666394
5045,Latter Days,865028,834685,30343,2004,0.9649225227391484,0.03507747726085167
5046,Brave,861630,527193,334437,2010,0.6118554367884127,0.38814456321158736
5047,Love,861057,249083,611974,2015,0.2892758551408327,0.7107241448591672
5048,Highway,858783,529136,329647,2014,0.6161463373168775,0.3838536626831225
5049,Night Moves,858513,271755,586758,2014,0.3165415083988245,0.6834584916011756
5050,Himalaya,857100,132007,725093,2000,0.15401586746003967,0.8459841325399603
5051,Steel Magnolias 2019 Re-release,855421,855421,0,2019,1.0,0.0
5052,Chain Letter,855185,138788,716397,2010,0.16229003081204652,0.8377099691879535
5053,A Touch of Sin,854891,154120,700771,2013,0.18028029304320667,0.8197197069567933
5054,Happythankyoumoreplease,853862,216110,637752,2011,0.2530971046843635,0.7469028953156365
5055,I'm Going Home,853526,140872,712654,2002,0.1650471104570921,0.8349528895429079
5056,Brigham City,852206,852206,0,2001,1.0,0.0
5057,The Sea of Trees,850985,20444,830541,2016,0.02402392521607314,0.9759760747839269
5058,31,850419,779820,70599,2016,0.9169832753031153,0.08301672469688472
5059,Wilson,848646,653951,194695,2017,0.7705816088215817,0.22941839117841833
5060,Atlas Shrugged: Who Is John Galt?,846704,846704,0,2014,1.0,0.0
5061,Monty Python's Life of Brian 2004 Re-release,846635,646951,199684,2004,0.7641439345172358,0.2358560654827641
5062,The Polar Express 2015 IMAX Release,846602,846602,0,2015,1.0,0.0
5063,Lizzie,844786,642157,202629,2018,0.7601416216651318,0.23985837833486823
5064,Heartbeats,843423,68723,774700,2010,0.08148105991892561,0.9185189400810744
5065,Higher Ground 2011 Re-release,843370,841733,1637,2011,0.9980589776729075,0.001941022327092498
5066,Gunday,843232,0,843232,2014,0.0,1.0
5067,Mary Kom,839840,621300,218540,2014,0.739783768336826,0.2602162316631739
5068,BANDSTAND: The Broadway Musical on Screen,839554,839554,0,2018,1.0,0.0
5069,Hôtel Normandy,836709,4640,832069,2013,0.005545536142195196,0.9944544638578048
5070,Khiladi 786,835095,379466,455629,2012,0.4543986013567319,0.5456013986432682
5071,The Exception,834572,708973,125599,2017,0.8495048959227005,0.1504951040772995
5072,Premam,834525,828278,6247,2016,0.9925143045445014,0.007485695455498637
5073,Children's Party,832150,6330,825820,2011,0.0076068016583548635,0.9923931983416452
5074,Blow Dry,830286,637769,192517,2001,0.7681317040152429,0.23186829598475706
5075,Gold Diggers,829140,527000,302140,2004,0.6355983308005886,0.3644016691994114
5076,Byzantium,828284,89237,739047,2013,0.10773720124981287,0.8922627987501871
5077,Detective Byomkesh Bakshy!,827437,579055,248382,2015,0.6998176296201403,0.30018237037985973
5078,Mary,827179,0,827179,2005,0.0,1.0
5079,13 Sins,826913,13809,813104,2014,0.01669945931434141,0.9833005406856586
5080,The Shape of Things,826617,735992,90625,2003,0.890366397013369,0.10963360298663105
5081,K: Missing Kings,826323,33531,792792,2014,0.04057856310425826,0.9594214368957418
5082,The Saddest Music in the World,824777,699225,125552,2004,0.8477746105917114,0.15222538940828853
5083,Inside,824414,0,824414,2017,0.0,1.0
5084,The Thing About My Folks,823337,816403,6934,2005,0.9915781751579243,0.008421824842075602
5085,The Lord of the Rings: The Return of the King 2011 Re-release,818580,818580,0,2011,1.0,0.0
5086,Break Ke Baad,816988,427628,389360,2010,0.5234201726341146,0.47657982736588544
5087,Life Itself,815645,810454,5191,2014,0.9936357116147343,0.0063642883852656484
5088,Saw 10th Anniversary Release,815324,815324,0,2014,1.0,0.0
5089,What If...,814906,814906,0,2010,1.0,0.0
5090,Tangerine,814868,702354,112514,2015,0.861923648983639,0.13807635101636093
5091,Charly,814666,814666,0,2002,1.0,0.0
